seconds;microseconds;left_x;right_x;groundsteering;
1584543210;813902;99;-1;-0;
1584543210;914054;-1;593;-0;
1584543211;14074;162;539;-0;
1584543211;114027;74;553;-0;
1584543211;215890;39;608;-0;
1584543211;313767;105;660;-0;
1584543211;413817;58;638;-0;
1584543211;513502;190;-1;-0;
1584543211;614194;163;-1;-0.0269875;
1584543211;715679;93;-1;-0.0839631;
1584543211;813542;228;-1;-0.0899643;
1584543211;913574;218;-1;-0.0869637;
1584543212;14064;123;-1;-0.0869637;
1584543212;113414;234;-1;-0.0869637;
1584543212;215670;370;-1;-0.119952;
1584543212;314462;94;-1;-0.122953;
1584543212;413403;298;-1;-0.125954;
1584543212;513698;210;-1;-0.182929;
1584543212;614208;47;-1;-0.269902;
1584543212;716100;304;-1;-0.290888;
1584543212;813596;-1;-1;-0.290888;
1584543212;913546;413;-1;-0.194923;
1584543213;13474;322;-1;-0.194923;
1584543213;113176;-1;-1;-0.152941;
1584543213;215946;-1;-1;-0;
1584543213;313755;-1;570;-0;
1584543213;413288;81;501;0.290888;
1584543213;513282;-1;514;0.290888;
1584543213;616985;-1;507;-0;
1584543213;715311;-1;-1;-0;
1584543213;813276;-1;-1;-0;
1584543213;913092;272;-1;-0.290888;
1584543214;13346;262;-1;-0;
1584543214;113222;224;-1;-0;
1584543214;215261;126;-1;-0;
1584543214;312961;-1;569;-0;
1584543214;416009;246;601;-0;
1584543214;513246;221;630;-0;
1584543214;613881;161;-1;-0;
1584543214;715242;150;-1;-0;
1584543214;813419;67;-1;-0;
1584543214;913065;-1;-1;-0;
1584543215;13088;227;532;0.0569845;
1584543215;112796;207;579;0.0779797;
1584543215;218993;151;613;-0;
1584543215;313652;190;-1;-0;
1584543215;412783;160;-1;-0;
1584543215;512894;134;-1;-0;
1584543215;613764;63;597;-0.104958;
1584543215;715025;253;606;-0;
1584543215;812904;243;-1;-0;
1584543215;913228;188;-1;-0;
1584543216;15444;183;-1;-0;
1584543216;115990;116;-1;-0;
1584543216;215873;54;-1;-0;
1584543216;313782;-1;-1;-0;
1584543216;412920;-1;511;-0;
1584543216;513472;162;508;-0;
1584543216;613798;125;561;-0;
1584543216;715166;87;601;-0;
1584543216;812652;-1;660;-0;
1584543216;912756;124;537;-0;
1584543217;12529;72;560;-0;
1584543217;112921;-1;600;-0;
1584543217;214694;196;640;-0;
1584543217;312785;48;603;-0;
1584543217;412822;-1;655;-0;
1584543217;512415;107;661;-0;
1584543217;615826;77;-1;-0.0179858;
1584543217;714941;-1;-1;-0.0779708;
1584543217;812656;228;-1;-0.0809625;
1584543217;912243;175;-1;-0.14994;
1584543218;12442;42;-1;-0.14994;
1584543218;112218;319;-1;-0.155942;
1584543218;214340;217;-1;-0.176937;
1584543218;312531;32;-1;-0.179929;
1584543218;412537;298;-1;-0.167935;
1584543218;512110;158;-1;-0.158942;
1584543218;612925;-1;-1;-0.158942;
1584543218;714591;339;-1;-0.158942;
1584543218;812368;273;-1;-0.131946;
1584543218;912191;155;-1;-0.0179858;
1584543219;12052;-1;-1;-0.014994;
1584543219;112362;-1;-1;-0;
1584543219;214256;185;506;-0;
1584543219;312502;151;523;-0;
1584543219;412444;118;553;-0;
1584543219;512182;12;595;-0;
1584543219;613237;-1;650;-0;
1584543219;713912;-1;-1;-0;
1584543219;812187;147;460;-0;
1584543219;915037;109;471;-0;
1584543220;11805;31;485;0.0179946;
1584543220;112125;-1;505;0.221928;
1584543220;214143;-1;534;-0;
1584543220;311719;-1;-1;-0;
1584543220;411889;-1;-1;-0;
1584543220;511735;260;552;-0;
1584543220;612369;200;596;-0;
1584543220;717907;180;658;-0;
1584543220;811925;144;566;-0;
1584543220;911619;66;580;-0;
1584543221;11773;227;638;-0;
1584543221;111578;214;624;-0;
1584543221;213655;197;-1;-0;
1584543221;311700;191;-1;-0.290888;
1584543221;411545;309;-1;-0;
1584543221;511552;340;-1;-0.0269875;
1584543221;612551;221;-1;-0.290888;
1584543221;713555;-1;-1;-0;
1584543221;811545;254;-1;-0;
1584543221;911641;134;-1;-0;
1584543222;11470;56;-1;-0.266901;
1584543222;111426;312;-1;-0.290888;
1584543222;213620;289;-1;-0;
1584543222;311440;133;-1;-0;
1584543222;411596;279;-1;-0;
1584543222;511613;201;-1;-0.218918;
1584543222;612258;186;-1;-0.173936;
1584543222;713426;94;-1;-0.0629768;
1584543222;811474;326;-1;-0;
1584543222;911478;205;-1;-0;
1584543223;11303;158;-1;-0;
1584543223;111440;44;-1;-0.0719696;
1584543223;213377;359;-1;-0.110959;
1584543223;311403;324;-1;-0.119952;
1584543223;411469;292;-1;-0.143948;
1584543223;511565;217;-1;-0.0779708;
1584543223;615264;223;-1;-0.00899288;
1584543223;714025;447;-1;-0.00899288;
1584543223;811339;310;-1;-0.0119935;
1584543223;911628;257;-1;-0.0599762;
1584543224;12072;261;-1;-0.0869637;
1584543224;111178;201;-1;-0.0869637;
1584543224;213779;420;-1;-0.0869637;
1584543224;311264;362;-1;-0.119952;
1584543224;411274;337;-1;-0.140948;
1584543224;511072;295;-1;-0.143948;
1584543224;611813;636;-1;-0.143948;
1584543224;712650;591;-1;-0.140948;
1584543224;810880;282;-1;-0.140948;
1584543224;911098;183;-1;-0.0509744;
1584543225;10843;4;-1;-0;
1584543225;110918;352;-1;-0;
1584543225;212779;280;-1;-0;
1584543225;311127;247;-1;-0;
1584543225;410896;66;-1;-0.140948;
1584543225;511004;273;-1;-0.0869637;
1584543225;611494;253;-1;-0;
1584543225;712681;209;-1;-0;
1584543225;813764;192;-1;-0;
1584543225;911023;209;645;-0;
1584543226;11044;193;-1;-0;
1584543226;110867;231;-1;-0;
1584543226;212740;231;-1;-0;
1584543226;310639;19;-1;-0;
1584543226;410831;137;-1;-0;
1584543226;510587;80;629;-0;
1584543226;611344;193;664;-0;
1584543226;712603;251;-1;-0;
1584543226;810541;142;499;0.0719785;
1584543226;910469;251;519;0.0719785;
1584543227;10694;-1;541;0.0719785;
1584543227;110427;-1;600;0.0749791;
1584543227;212388;-1;381;0.0719785;
1584543227;310623;-1;429;0.0629856;
1584543227;410379;-1;491;0.0269964;
1584543227;510352;-1;528;0.0269964;
1584543227;611736;-1;631;0.0269964;
1584543227;712318;-1;-1;0.0269964;
1584543227;810585;259;357;0.0269964;
1584543227;910464;-1;375;0.029997;
1584543228;10310;-1;398;0.0539839;
1584543228;110658;258;428;0.0629856;
1584543228;212906;272;464;0.0629856;
1584543228;310326;213;513;0.0629856;
1584543228;410569;359;450;0.0629856;
1584543228;510487;361;504;0.0629856;
1584543228;610875;394;562;0.0629856;
1584543228;715870;11;629;0.0599851;
1584543228;810895;527;-1;-0;
1584543228;910154;629;-1;-0.053975;
1584543229;10074;486;-1;-0.290888;
1584543229;110313;459;-1;-0.290888;
1584543229;211828;451;-1;-0.290888;
1584543229;310142;585;-1;-0.290888;
1584543229;410367;289;-1;-0.290888;
1584543229;513031;378;-1;-0.290888;
1584543229;614049;380;-1;-0.290888;
1584543229;712498;171;-1;-0.290888;
1584543229;809973;243;-1;-0.290888;
1584543229;910212;-1;-1;-0.290888;
